Ticket_ID,Customer_ID,Account_ID,Loan_ID,Branch_Name,Issue_Category,Description,Date_Opened,Date_Closed,Priority,Status,Resolution_Remarks,Support_Agent,Channel,Customer_Rating
T00145,C0175,A9374,,Merritt PLC Branch,Online Transfer Failed,System detected online transfer failed.,2015-05-05,2015-05-26,High,Escalated,Pending customer verification.,Aarnav Sangha,Mobile App,3
T00146,C0187,A7431,,Hopkins-Johnston Branch,Account Frozen,Customer reported account frozen.,2016-10-09,2016-10-25,High,Closed,Pending customer verification.,Niharika Aggarwal,In-person,3
T00147,C0008,A6533,,Jones-Baker Branch,Account Access Issue,System detected account access issue.,2020-10-10,2020-10-21,Low,Resolved,Card replaced and activated.,Harish Anne,Phone,1
T00148,C0231,A0830,,"Lane, Barton and Henson Branch",Account Closure Request,Customer reported account closure request.,2021-11-25,2021-12-23,High,Closed,KYC documents verified.,Niharika Aggarwal,Phone,2
T00149,C0221,A8164,,"Ortega, Swanson and Clark Branch",KYC Update Required,Client raised kyc update required.,2018-06-17,2018-06-20,Critical,In Progress,Pending customer verification.,Owen Mahajan,In-person,1
T00150,C0378,A0829,,Lin Inc Branch,Online Transfer Failed,Customer reported online transfer failed.,2022-05-03,2022-05-13,Low,Escalated,Pending customer verification.,Triya Mukhopadhyay,In-person,3
T00151,C0401,A6607,387,Hanson-Carter Branch,Loan Payment Delay,System detected loan payment delay.,2015-07-29,2015-08-05,Critical,Closed,Escalated to technical team.,Advik Bhagat,Email,2
T00152,C0159,A1585,452,Adams LLC Branch,Interest Rate Dispute,Client raised interest rate dispute.,2018-10-20,2018-11-01,Low,Open,Issue resolved successfully.,Ranveer Roy,In-person,4
T00153,C0126,A8509,545,"Austin, Rogers and Ayala Branch",Interest Rate Dispute,Client raised interest rate dispute.,2020-10-12,2020-11-11,High,Closed,Escalated to technical team.,Udyati Mody,Mobile App,5
T00154,C0308,A4912,,Ortiz LLC Branch,KYC Update Required,Client raised kyc update required.,2019-02-17,2019-02-21,High,Open,Loan schedule updated.,Veda Samra,In-person,5
T00155,C0058,A9464,,"Miles, Patterson and Murray Branch",Loan Foreclosure,Client raised loan foreclosure.,2021-07-18,2021-08-04,Critical,In Progress,Refund processed.,Gaurika Pillay,Phone,1
T00156,C0455,A9381,297,Torres-Green Branch,KYC Update Required,System detected kyc update required.,2019-12-12,2019-12-17,Critical,Open,KYC documents verified.,Ranveer Roy,Phone,5
T00157,C0176,A5326,,Nguyen LLC Branch,Account Frozen,Client raised account frozen.,2018-07-09,,High,Closed,Escalated to technical team.,Gaurika Pillay,In-person,5
T00158,C0378,A7933,,"Jackson, Sanders and Webb Branch",Cheque Bounce,System detected cheque bounce.,2018-02-16,2018-02-24,Medium,Escalated,Escalated to technical team.,Veda Samra,In-person,5
T00159,C0054,A4481,319,Lewis Ltd Branch,KYC Update Required,Customer reported kyc update required.,2022-08-03,2022-09-01,High,Open,Escalated to technical team.,Gabriel Mutti,Email,3
T00160,C0166,A7248,,"Allen, Martin and Mosley Branch",Cheque Bounce,Client raised cheque bounce.,2017-05-26,2017-06-13,High,In Progress,Issue resolved successfully.,Vansha Sood,Phone,2
T00161,C0160,A0832,,Brown-Roberts Branch,EMI Auto-debit Failed,System detected emi auto-debit failed.,2015-08-04,2015-08-15,Low,In Progress,Issue resolved successfully.,Falguni Bhandari,Phone,4
T00162,C0099,A7794,,Johnson-Hunter Branch,Interest Rate Dispute,System detected interest rate dispute.,2023-06-24,,Low,Open,KYC documents verified.,Owen Mahajan,Phone,5
T00163,C0488,A0612,,"Sullivan, Bradford and Becker Branch",Card Not Working,System detected card not working.,2016-12-21,,Critical,In Progress,KYC documents verified.,Wriddhish Mangal,In-person,1
T00164,C0050,A0152,,Johnson Ltd Branch,Interest Rate Dispute,System detected interest rate dispute.,2016-03-15,,Critical,Closed,Loan schedule updated.,Veda Samra,Phone,5
T00165,C0124,A7669,43,"Malone, Stewart and Stephens Branch",Account Frozen,Client raised account frozen.,2016-04-06,2016-04-30,Medium,Open,KYC documents verified.,Niharika Aggarwal,In-person,5
T00166,C0437,A3165,,"Sullivan, Bradford and Becker Branch",Mismatch in Account Statement,System detected mismatch in account statement.,2022-03-01,,High,Open,Card replaced and activated.,Gaurika Pillay,Email,2
T00167,C0005,A2304,280,Johnson-Hunter Branch,Loan Foreclosure,System detected loan foreclosure.,2017-10-13,2017-10-26,High,Closed,KYC documents verified.,Owen Mahajan,Email,3
T00168,C0340,A5891,221,Smith Inc Branch,KYC Update Required,Client raised kyc update required.,2016-04-29,2016-05-05,High,Open,KYC documents verified.,Ikbal Sidhu,In-person,3
T00169,C0342,A3619,,"Shepard, Gonzales and Cooper Branch",Debit Card Delivery Delay,System detected debit card delivery delay.,2020-05-12,2020-06-05,Critical,Closed,Card replaced and activated.,Kashvi Doctor,Phone,2
T00170,C0010,A9762,,Johnson Group Branch,Account Closure Request,Client raised account closure request.,2020-12-03,2020-12-06,Low,Open,Refund processed.,Falguni Bhandari,Phone,5
T00171,C0158,A8793,412,"Gillespie, Powers and Smith Branch",Account Access Issue,System detected account access issue.,2020-11-01,2020-11-23,Low,Closed,Card replaced and activated.,Aarnav Sangha,Email,4
T00172,C0135,A2162,,"Miller, Hill and Leonard Branch",UPI Payment Failed,System detected upi payment failed.,2015-08-25,2015-09-16,Low,Escalated,Escalated to technical team.,Advik Bhagat,Email,2
T00173,C0066,A9476,345,Hopkins-Johnston Branch,Card Not Working,Customer reported card not working.,2018-11-12,2018-11-30,Critical,Open,Escalated to technical team.,Lavanya Hans,Phone,2
T00174,C0374,A6888,,"Jones, Page and Kennedy Branch",Account Closure Request,System detected account closure request.,2019-04-16,2019-05-16,Critical,Open,KYC documents verified.,Gaurika Pillay,Phone,3
T00175,C0270,A1944,,Morris-Prince Branch,Account Access Issue,Customer reported account access issue.,2019-05-29,2019-06-22,Low,Resolved,Card replaced and activated.,Gaurika Pillay,Mobile App,5
T00176,C0266,A6215,211,"Phillips, Hamilton and Campos Branch",Account Closure Request,Customer reported account closure request.,2018-11-18,2018-11-25,Low,Escalated,Loan schedule updated.,Kashvi Doctor,Email,2
T00177,C0487,A3377,228,"Horne, Gomez and Zavala Branch",EMI Auto-debit Failed,Customer reported emi auto-debit failed.,2015-05-18,2015-06-09,Low,Escalated,Card replaced and activated.,Harish Anne,Phone,1
T00178,C0129,A2296,,Lowery and Sons Branch,EMI Auto-debit Failed,Client raised emi auto-debit failed.,2017-08-17,,High,Closed,Loan schedule updated.,Kashvi Doctor,In-person,2
T00179,C0357,A4945,,Keller PLC Branch,Cheque Bounce,Customer reported cheque bounce.,2020-11-05,2020-11-15,Medium,Escalated,Loan schedule updated.,Veda Samra,Email,3
T00180,C0292,A6245,,Hartman-Vargas Branch,Unauthorized Transaction,Client raised unauthorized transaction.,2019-07-31,2019-08-13,Critical,In Progress,Refund processed.,Harish Anne,In-person,2
T00181,C0306,A7587,,Hahn Group Branch,KYC Update Required,Customer reported kyc update required.,2019-09-03,2019-09-08,High,In Progress,Escalated to technical team.,Wriddhish Sarraf,Email,4
T00182,C0246,A6080,,Pena-Anderson Branch,Loan Foreclosure,Client raised loan foreclosure.,2017-02-19,2017-03-04,Low,Open,Pending customer verification.,Aarnav Sangha,Phone,4
T00183,C0327,A3423,472,Aguirre-Bowman Branch,Interest Rate Dispute,Customer reported interest rate dispute.,2015-03-04,2015-03-11,Medium,Escalated,Pending customer verification.,Falguni Bhandari,In-person,3
T00184,C0062,A6237,,Martin Ltd Branch,Online Transfer Failed,System detected online transfer failed.,2019-01-11,2019-01-23,Critical,Open,Refund processed.,Ekapad Jhaveri,Mobile App,3
T00185,C0028,A3329,445,Sullivan and Sons Branch,Loan Foreclosure,Client raised loan foreclosure.,2015-07-07,2015-07-15,Critical,Resolved,Pending customer verification.,Kalpit Ahuja,In-person,2
T00186,C0434,A6224,,Walters-Lee Branch,Interest Rate Dispute,System detected interest rate dispute.,2022-05-05,,Critical,Escalated,Card replaced and activated.,Chanakya Natt,In-person,2
T00187,C0244,A2294,370,Robbins LLC Branch,Loan Payment Delay,Client raised loan payment delay.,2021-01-29,,Low,Open,Card replaced and activated.,Ranveer Roy,Phone,1
T00188,C0336,A2475,48,"Williams, Johnson and Williams Branch",Loan Foreclosure,Client raised loan foreclosure.,2020-02-11,2020-03-02,Critical,Escalated,Issue resolved successfully.,Ria Ghose,Mobile App,1
T00189,C0094,A0275,,Myers-Hall Branch,EMI Auto-debit Failed,Client raised emi auto-debit failed.,2018-03-20,2018-04-16,Critical,In Progress,Issue resolved successfully.,Ikbal Sidhu,Email,5
T00190,C0322,A2440,51,Evans Ltd Branch,Cheque Bounce,Customer reported cheque bounce.,2020-11-26,2020-12-08,High,Escalated,Card replaced and activated.,Owen Mahajan,Phone,2
T00191,C0129,A4915,,Weaver-Brown Branch,KYC Update Required,System detected kyc update required.,2022-04-15,2022-04-18,Critical,Closed,Card replaced and activated.,Leena Apte,Email,2
T00192,C0145,A1355,,James Group Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2022-03-26,2022-04-14,Low,In Progress,Pending customer verification.,Triya Mukhopadhyay,Mobile App,3
T00193,C0108,A0763,,"Fitzgerald, Day and Goodwin Branch",Debit Card Delivery Delay,Client raised debit card delivery delay.,2018-02-22,,Low,In Progress,Refund processed.,Niharika Aggarwal,Email,2
T00194,C0428,A9618,,Lucero LLC Branch,Account Closure Request,Customer reported account closure request.,2022-12-29,,High,In Progress,Loan schedule updated.,Harish Anne,Mobile App,5
T00195,C0095,A5436,,"Gonzales, Diaz and Green Branch",EMI Auto-debit Failed,Customer reported emi auto-debit failed.,2016-07-27,2016-08-19,High,Open,Issue resolved successfully.,Lavanya Hans,Phone,1
T00196,C0211,A5581,,Evans-Baker Branch,UPI Payment Failed,System detected upi payment failed.,2018-08-29,2018-09-07,Critical,In Progress,Escalated to technical team.,Falguni Bhandari,Mobile App,4
T00197,C0081,A3044,373,Robertson and Sons Branch,Loan Foreclosure,Customer reported loan foreclosure.,2021-12-08,2021-12-16,Critical,In Progress,KYC documents verified.,Upkaar Bava,In-person,3
T00198,C0418,A1746,261,"Andrade, Gomez and Bishop Branch",Loan Payment Delay,Customer reported loan payment delay.,2018-06-16,2018-07-11,Critical,Escalated,Loan schedule updated.,Falguni Bhandari,Mobile App,1
T00199,C0315,A0431,16,"Edwards, Dixon and Lopez Branch",Interest Rate Dispute,Customer reported interest rate dispute.,2016-01-17,2016-02-12,High,Escalated,Card replaced and activated.,Kashvi Doctor,Email,5
T00200,C0270,A3978,,"Mack, Mcmillan and Campbell Branch",Cheque Bounce,System detected cheque bounce.,2016-11-25,2016-12-05,Medium,Open,Pending customer verification.,Lavanya Hans,In-person,4
T00201,C0197,A4912,,"Walton, Hodges and Galloway Branch",EMI Auto-debit Failed,Client raised emi auto-debit failed.,2019-01-19,2019-01-27,Critical,Closed,Loan schedule updated.,Kalpit Ahuja,Mobile App,1
T00202,C0378,A2220,219,Rogers Group Branch,KYC Update Required,System detected kyc update required.,2019-06-09,2019-06-29,Critical,Resolved,Card replaced and activated.,Advik Bhagat,Phone,3
T00203,C0096,A5254,,Martin-Stewart Branch,Interest Rate Dispute,System detected interest rate dispute.,2016-12-28,,Critical,Closed,Refund processed.,Harish Anne,In-person,4
T00204,C0088,A4593,406,Atkins-Gay Branch,Unauthorized Transaction,Client raised unauthorized transaction.,2021-04-28,2021-05-16,Low,Escalated,KYC documents verified.,Kalpit Ahuja,Mobile App,3
T00205,C0470,A1134,,Carroll-Robinson Branch,Cheque Bounce,Client raised cheque bounce.,2016-07-24,2016-08-01,Medium,Escalated,Refund processed.,Upkaar Bava,Email,4
T00206,C0016,A9797,,Vaughn Ltd Branch,Mismatch in Account Statement,Client raised mismatch in account statement.,2020-12-28,2021-01-27,Critical,Closed,Issue resolved successfully.,Aarnav Sangha,In-person,5
T00207,C0016,A9730,425,Zimmerman PLC Branch,Unauthorized Transaction,Customer reported unauthorized transaction.,2017-10-13,2017-10-25,Critical,Resolved,Refund processed.,Lavanya Hans,Email,1
T00208,C0193,A1616,412,"Collins, Neal and Lane Branch",Interest Rate Dispute,System detected interest rate dispute.,2023-05-18,2023-06-06,Critical,Escalated,Refund processed.,Gaurika Pillay,Phone,3
T00209,C0393,A0403,69,"Lopez, Santana and Johnson Branch",Loan Payment Delay,Customer reported loan payment delay.,2019-08-31,,Medium,Resolved,Escalated to technical team.,Niharika Aggarwal,Mobile App,2
T00210,C0474,A8538,189,"Lopez, Santana and Johnson Branch",Loan Foreclosure,Customer reported loan foreclosure.,2016-02-04,2016-02-27,Low,Open,Refund processed.,Niharika Aggarwal,Email,2
T00211,C0114,A3997,,Simpson-Boyle Branch,Account Access Issue,System detected account access issue.,2018-09-17,2018-10-02,Medium,In Progress,KYC documents verified.,Gaurika Pillay,Mobile App,4
T00212,C0224,A0479,,"Williams, Mcfarland and Alvarez Branch",Account Access Issue,Customer reported account access issue.,2019-10-26,2019-11-18,High,Open,Loan schedule updated.,Ekanta Devan,Phone,3
T00213,C0222,A5341,,Lewis LLC Branch,Online Transfer Failed,Client raised online transfer failed.,2017-12-10,2017-12-26,High,Closed,Card replaced and activated.,Vansha Sood,Mobile App,5
T00214,C0109,A1872,501,Chang-Lucas Branch,Loan Foreclosure,Client raised loan foreclosure.,2020-02-19,2020-03-17,High,Closed,Loan schedule updated.,Chaitaly Vaidya,Phone,3
T00215,C0010,A1932,423,"Bell, Parker and Owen Branch",EMI Auto-debit Failed,Client raised emi auto-debit failed.,2017-01-19,2017-01-24,Critical,Escalated,Pending customer verification.,Veda Samra,Phone,5
T00216,C0166,A2734,516,Peters PLC Branch,Loan Foreclosure,Customer reported loan foreclosure.,2017-02-05,2017-02-20,Critical,In Progress,Pending customer verification.,Advik Bhagat,Mobile App,5
T00217,C0091,A8282,,Murray-Wright Branch,Account Frozen,System detected account frozen.,2020-07-07,2020-08-03,Medium,Open,Loan schedule updated.,Ria Ghose,Phone,3
T00218,C0053,A0536,528,Myers-Hall Branch,Debit Card Delivery Delay,System detected debit card delivery delay.,2018-03-28,2018-04-12,Low,Closed,Issue resolved successfully.,Wishi Chhabra,In-person,5
T00219,C0395,A0682,,Knight Ltd Branch,Loan Foreclosure,Customer reported loan foreclosure.,2019-10-08,2019-11-04,High,Open,Card replaced and activated.,Wishi Chhabra,In-person,1
T00220,C0497,A7194,,Welch-Powers Branch,Debit Card Delivery Delay,Client raised debit card delivery delay.,2017-08-28,2017-09-21,High,Closed,KYC documents verified.,Lavanya Hans,Phone,5
T00221,C0170,A2282,,"Clark, Kaiser and Ray Branch",Cheque Bounce,Client raised cheque bounce.,2015-09-01,2015-09-19,Medium,Resolved,KYC documents verified.,Rehaan Balakrishnan,In-person,5
T00222,C0493,A4381,457,Lozano-Wilson Branch,Card Not Working,Client raised card not working.,2023-05-31,2023-06-30,Medium,In Progress,Pending customer verification.,Ranveer Roy,In-person,2
T00223,C0008,A6435,319,Peters PLC Branch,Loan Payment Delay,System detected loan payment delay.,2022-02-03,2022-02-17,High,Resolved,Card replaced and activated.,Veda Samra,In-person,5
T00224,C0152,A0041,,Mason Group Branch,Interest Rate Dispute,Customer reported interest rate dispute.,2020-02-21,2020-03-15,Critical,In Progress,Card replaced and activated.,Advik Bhagat,Phone,4
T00225,C0043,A4400,,Green-Noble Branch,Debit Card Delivery Delay,System detected debit card delivery delay.,2018-10-15,2018-10-20,High,Open,Issue resolved successfully.,Ekanta Devan,Mobile App,1
T00226,C0196,A2036,,Mclaughlin-Gomez Branch,KYC Update Required,Customer reported kyc update required.,2015-01-03,,Medium,Resolved,Pending customer verification.,Wriddhish Mangal,In-person,1
T00227,C0295,A5906,94,Graham PLC Branch,Loan Foreclosure,Client raised loan foreclosure.,2022-06-14,,Medium,Escalated,KYC documents verified.,Chaitaly Vaidya,Email,1
T00228,C0280,A3497,328,Johnson-Hunter Branch,Loan Foreclosure,Customer reported loan foreclosure.,2021-08-28,2021-09-19,Critical,In Progress,Card replaced and activated.,Chaitaly Vaidya,Phone,4
T00229,C0375,A1464,535,Perez Ltd Branch,EMI Auto-debit Failed,Client raised emi auto-debit failed.,2019-02-14,,Medium,Open,Loan schedule updated.,Owen Mahajan,Email,5
T00230,C0447,A2689,536,Edwards PLC Branch,Interest Rate Dispute,Customer reported interest rate dispute.,2017-05-22,2017-05-27,Low,Open,Pending customer verification.,Kashvi Doctor,Email,5
T00231,C0392,A6292,,"Taylor, Mckay and Orozco Branch",Cheque Bounce,Client raised cheque bounce.,2018-07-12,2018-07-20,Low,In Progress,Loan schedule updated.,Vansha Sood,In-person,1
T00232,C0477,A4943,,Bell PLC Branch,Cheque Bounce,Client raised cheque bounce.,2020-09-18,2020-10-01,Low,In Progress,Card replaced and activated.,Upkaar Bava,Email,2
T00233,C0254,A8186,,Molina-Potts Branch,Account Closure Request,System detected account closure request.,2015-02-19,,Medium,Escalated,Refund processed.,Advik Bhagat,Mobile App,3
T00234,C0075,A8952,,Clark-Williams Branch,Loan Payment Delay,Customer reported loan payment delay.,2023-08-22,2023-09-10,High,In Progress,Issue resolved successfully.,Ikbal Sidhu,Email,4
T00235,C0088,A8301,,"Bird, Weber and Cain Branch",EMI Auto-debit Failed,System detected emi auto-debit failed.,2020-08-14,2020-08-28,Low,Closed,Loan schedule updated.,Vansha Sood,Phone,3
T00236,C0299,A1370,488,Anderson-Dunn Branch,Interest Rate Dispute,Client raised interest rate dispute.,2017-04-12,,Low,Resolved,KYC documents verified.,Lavanya Hans,Phone,1
T00237,C0388,A4006,,Johnson and Sons Branch,Card Not Working,System detected card not working.,2016-04-20,2016-05-10,Medium,Open,Issue resolved successfully.,Gabriel Mutti,Phone,1
T00238,C0378,A2685,,Cortez-Brown Branch,EMI Auto-debit Failed,System detected emi auto-debit failed.,2020-11-12,2020-12-09,Medium,Resolved,Pending customer verification.,Ekapad Jhaveri,In-person,1
T00239,C0405,A0481,,Andrews Ltd Branch,EMI Auto-debit Failed,Client raised emi auto-debit failed.,2018-01-19,2018-01-28,Low,Escalated,Card replaced and activated.,Udyati Mody,In-person,1
T00240,C0353,A8186,416,Huynh-Jones Branch,Debit Card Delivery Delay,Customer reported debit card delivery delay.,2017-11-10,2017-12-09,Medium,Closed,Issue resolved successfully.,Leena Apte,Email,2
T00241,C0331,A0754,439,Curtis-Diaz Branch,Interest Rate Dispute,Customer reported interest rate dispute.,2016-09-06,2016-10-04,High,In Progress,Card replaced and activated.,Ikbal Sidhu,In-person,3
T00242,C0196,A1277,133,Hurley-Reynolds Branch,Loan Payment Delay,System detected loan payment delay.,2022-07-20,,Low,Escalated,Refund processed.,Rehaan Balakrishnan,In-person,3
T00243,C0500,A1416,27,"Austin, Rogers and Ayala Branch",Cheque Bounce,Customer reported cheque bounce.,2017-04-01,2017-04-27,Critical,Resolved,Loan schedule updated.,Veda Samra,Phone,5
T00244,C0177,A4017,549,Russell-Richard Branch,Interest Rate Dispute,Client raised interest rate dispute.,2019-08-07,2019-08-25,Low,Resolved,Issue resolved successfully.,Kashvi Doctor,Mobile App,3
T00245,C0341,A1704,,Bell PLC Branch,Unauthorized Transaction,Client raised unauthorized transaction.,2017-09-02,2017-09-04,High,Open,Issue resolved successfully.,Ikbal Sidhu,Phone,5
T00246,C0196,A6768,,Hurley-Reynolds Branch,Online Transfer Failed,Customer reported online transfer failed.,2023-05-22,2023-05-26,Critical,Open,Loan schedule updated.,Owen Mahajan,Email,4
T00247,C0165,A2142,398,Murray LLC Branch,KYC Update Required,Client raised kyc update required.,2018-07-14,,High,Resolved,Card replaced and activated.,Wishi Chhabra,Phone,1
T00248,C0265,A3322,,"Lam, Jones and Ortega Branch",Unauthorized Transaction,System detected unauthorized transaction.,2021-07-22,2021-07-26,Critical,Resolved,Card replaced and activated.,Ekanta Devan,In-person,2
T00249,C0262,A7405,,"Warren, Tanner and Combs Branch",Loan Foreclosure,System detected loan foreclosure.,2016-05-06,2016-06-01,Low,In Progress,Refund processed.,Wriddhish Mangal,In-person,2
T00250,C0202,A1495,,Martin-Hardy Branch,Cheque Bounce,System detected cheque bounce.,2019-06-12,2019-07-04,Medium,Open,Card replaced and activated.,Wriddhish Mangal,Mobile App,5
T00251,C0491,A9014,482,Moore-Hodges Branch,Loan Payment Delay,Customer reported loan payment delay.,2016-02-22,,Medium,In Progress,Refund processed.,Upkaar Bava,In-person,1
T00252,C0490,A9541,,Phillips PLC Branch,Account Access Issue,Client raised account access issue.,2015-11-04,2015-11-07,Critical,In Progress,Issue resolved successfully.,Triya Mukhopadhyay,In-person,1
T00253,C0117,A0700,154,"Nelson, Hardy and Fox Branch",Interest Rate Dispute,Client raised interest rate dispute.,2021-06-08,2021-07-02,Critical,In Progress,Escalated to technical team.,Kalpit Ahuja,Phone,3
T00254,C0334,A4586,,"Morse, Foley and Johnson Branch",Account Access Issue,Client raised account access issue.,2015-05-22,2015-06-11,High,Escalated,Card replaced and activated.,Triya Mukhopadhyay,Mobile App,1
T00255,C0265,A1438,117,"Thomas, Brock and Hansen Branch",Loan Payment Delay,System detected loan payment delay.,2019-09-14,2019-10-13,High,Escalated,Loan schedule updated.,Aarnav Sangha,Mobile App,3
T00256,C0369,A9268,16,"Martin, Flores and Miller Branch",Loan Foreclosure,Customer reported loan foreclosure.,2018-01-12,2018-01-23,Critical,Closed,Escalated to technical team.,Kashvi Doctor,Phone,2
T00257,C0062,A1641,,Clark and Sons Branch,Account Closure Request,Client raised account closure request.,2017-12-27,2018-01-22,Low,In Progress,Loan schedule updated.,Wriddhish Mangal,Mobile App,3
T00258,C0407,A2847,541,"Wilkinson, Norris and Johnson Branch",Loan Payment Delay,Client raised loan payment delay.,2018-07-26,,High,Closed,Loan schedule updated.,Ranveer Roy,Phone,4
T00259,C0453,A8883,227,"Howard, Tate and Nguyen Branch",Interest Rate Dispute,Customer reported interest rate dispute.,2015-06-05,2015-06-13,High,Closed,Pending customer verification.,Aarnav Sangha,Phone,3
T00260,C0208,A2908,451,Moore-Soto Branch,Unauthorized Transaction,Client raised unauthorized transaction.,2016-08-28,2016-09-27,High,Open,Escalated to technical team.,Gabriel Mutti,Mobile App,5
T00261,C0001,A1656,300,"Butler, Sullivan and Torres Branch",EMI Auto-debit Failed,Client raised emi auto-debit failed.,2016-07-12,,Critical,Resolved,Pending customer verification.,Gabriel Mutti,In-person,2
T00262,C0089,A9650,24,"Sullivan, Bradford and Becker Branch",Unauthorized Transaction,Client raised unauthorized transaction.,2023-03-26,2023-03-31,Critical,Closed,Issue resolved successfully.,Chanakya Natt,In-person,5
T00263,C0330,A3620,,Mcclain Inc Branch,Account Access Issue,System detected account access issue.,2016-07-30,2016-08-02,High,In Progress,KYC documents verified.,Triya Mukhopadhyay,Email,3
T00264,C0415,A7318,94,"Lopez, Tucker and Collins Branch",Cheque Bounce,Client raised cheque bounce.,2017-10-19,2017-10-31,Low,Open,Card replaced and activated.,Bhavya Dutta,Mobile App,2
T00265,C0111,A6784,,Simmons-Cole Branch,Mismatch in Account Statement,System detected mismatch in account statement.,2018-12-09,2018-12-13,Medium,In Progress,Card replaced and activated.,Chaitaly Vaidya,Email,3
T00266,C0443,A0329,530,Hartman-Vargas Branch,Loan Payment Delay,Client raised loan payment delay.,2016-03-04,2016-03-10,Low,Resolved,Loan schedule updated.,Vansha Sood,Mobile App,1
T00267,C0408,A7067,,Choi PLC Branch,Interest Rate Dispute,Customer reported interest rate dispute.,2019-11-14,2019-11-18,Medium,Escalated,KYC documents verified.,Falguni Bhandari,In-person,3
T00268,C0325,A4873,136,Richardson and Sons Branch,Loan Foreclosure,Customer reported loan foreclosure.,2019-05-29,2019-06-25,Critical,Open,Escalated to technical team.,Advik Bhagat,Mobile App,2
T00269,C0355,A1590,167,Wood-Bell Branch,Account Frozen,System detected account frozen.,2022-02-27,2022-03-02,Critical,Escalated,Card replaced and activated.,Triya Mukhopadhyay,In-person,1
T00270,C0098,A8915,485,Thomas PLC Branch,Interest Rate Dispute,System detected interest rate dispute.,2019-04-12,2019-04-27,Medium,Resolved,Loan schedule updated.,Leena Apte,Phone,1
T00271,C0372,A1405,,Stevens-Braun Branch,Debit Card Delivery Delay,Customer reported debit card delivery delay.,2019-08-23,,Low,Escalated,Refund processed.,Udyati Mody,Mobile App,5
T00272,C0452,A7780,,Smith Inc Branch,EMI Auto-debit Failed,Customer reported emi auto-debit failed.,2015-11-20,2015-12-18,Medium,Open,Refund processed.,Bhavya Dutta,Phone,2
T00273,C0276,A3472,367,"Marquez, Reese and Dawson Branch",EMI Auto-debit Failed,Client raised emi auto-debit failed.,2019-10-01,2019-10-23,High,Resolved,KYC documents verified.,Ikbal Sidhu,Email,1
T00274,C0438,A6359,,Evans-Baker Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2018-02-05,2018-03-07,Critical,Open,Card replaced and activated.,Ranveer Roy,Phone,5
T00275,C0478,A9633,,Warner-Shelton Branch,Cheque Bounce,Client raised cheque bounce.,2021-04-23,2021-05-19,High,Escalated,Escalated to technical team.,Upkaar Bava,Mobile App,5
T00276,C0198,A9978,372,Mullen-Obrien Branch,Debit Card Delivery Delay,System detected debit card delivery delay.,2018-02-02,2018-02-22,Low,Escalated,Escalated to technical team.,Gabriel Mutti,Phone,1
T00277,C0361,A7786,,Chapman-Goodman Branch,Cheque Bounce,System detected cheque bounce.,2015-03-24,2015-04-19,High,Escalated,Refund processed.,Gabriel Mutti,Email,2
T00278,C0467,A2202,,Clark-Smith Branch,Cheque Bounce,Client raised cheque bounce.,2019-12-20,2019-12-31,Critical,Closed,KYC documents verified.,Chaitaly Vaidya,Phone,4
T00279,C0157,A3464,,Bruce-Kidd Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2023-07-08,2023-07-20,Medium,Open,Escalated to technical team.,Gabriel Mutti,Mobile App,2
T00280,C0447,A8590,171,Mitchell-Simmons Branch,Loan Payment Delay,System detected loan payment delay.,2017-04-02,,Medium,Resolved,Escalated to technical team.,Advik Bhagat,Mobile App,5
T00281,C0350,A6504,,Black-Schmidt Branch,Account Frozen,Customer reported account frozen.,2017-09-17,2017-10-07,Critical,Closed,Loan schedule updated.,Ekani Oza,In-person,2
T00282,C0040,A4238,425,Evans-Clark Branch,Debit Card Delivery Delay,Customer reported debit card delivery delay.,2019-05-03,2019-05-31,Medium,In Progress,KYC documents verified.,Kalpit Ahuja,In-person,4
T00283,C0328,A8410,,Roberts-Silva Branch,Account Closure Request,Customer reported account closure request.,2023-08-10,2023-08-26,Medium,Closed,Refund processed.,Ria Ghose,Phone,3
T00284,C0206,A9968,,"Roman, Lynch and Davis Branch",Account Closure Request,System detected account closure request.,2022-12-15,2022-12-29,High,Escalated,Escalated to technical team.,Kalpit Ahuja,Mobile App,3
T00285,C0472,A8531,,Evans-Baker Branch,Mismatch in Account Statement,System detected mismatch in account statement.,2015-01-31,2015-02-22,High,Resolved,KYC documents verified.,Ekanta Devan,Mobile App,1
T00286,C0063,A5510,,"Wheeler, Henderson and Weeks Branch",Account Closure Request,Client raised account closure request.,2018-02-08,2018-03-03,High,In Progress,Pending customer verification.,Udyati Mody,Phone,1
T00287,C0314,A9831,,Jackson-Macias Branch,Loan Foreclosure,System detected loan foreclosure.,2022-08-20,2022-08-21,High,Resolved,Card replaced and activated.,Upkaar Bava,Mobile App,1
T00288,C0112,A9553,179,Davis-Hancock Branch,Loan Foreclosure,System detected loan foreclosure.,2022-12-31,2023-01-18,High,Closed,Escalated to technical team.,Wriddhish Mangal,Phone,5
T00289,C0117,A2968,500,Jackson-Smith Branch,EMI Auto-debit Failed,Client raised emi auto-debit failed.,2016-06-08,2016-07-02,High,Open,Pending customer verification.,Ekani Oza,Phone,3
